"Source","Target","Weight"
"teenage witch (suzi wu)","taken care of (suzi wu)","38"
"jockey full of bourbon (suzi wu)","speed (suzi wu)","38"
"taken care of (suzi wu)","jockey full of bourbon (suzi wu)","36"
"coeur d'alene (work wife)","control (work wife)","35"
"downtime (work wife)","something's up (work wife)","35"
"control (work wife)","downtime (work wife)","34"
"something's up (work wife)","soft lie (work wife)","34"
"percolator (charly bliss)","westermarck (charly bliss)","33"
"strangers (work wife)","coeur d'alene (work wife)","32"
"westermarck (charly bliss)","glitter (charly bliss)","31"
"april's-bloom (julie)","lochness (julie)","31"
"lochness (julie)","skipping tiles (julie)","29"
"skipping tiles (julie)","daisy pusher (julie)","29"
"glitter (charly bliss)","black hole (charly bliss)","28"
"scare u (charly bliss)","ruby (charly bliss)","27"
"black hole (charly bliss)","scare u (charly bliss)","27"
"faith's late (nilufer yanya)","made out of memory (nilufer yanya)","26"
"keep on dancing (nilufer yanya)","like i say (i runaway) (nilufer yanya)","25"
"ready for sun (touch) (nilufer yanya)","call it love (nilufer yanya)","25"
"mutations (nilufer yanya)","ready for sun (touch) (nilufer yanya)","24"
"call it love (nilufer yanya)","faith's late (nilufer yanya)","24"
"just a western (nilufer yanya)","wingspan (nilufer yanya)","24"
"ruby (charly bliss)","dq (charly bliss)","23"
"like i say (i runaway) (nilufer yanya)","method actor (nilufer yanya)","23"
"method actor (nilufer yanya)","binding (nilufer yanya)","23"
"binding (nilufer yanya)","mutations (nilufer yanya)","23"
"gatorade (charly bliss)","totalizer (charly bliss)","22"
"made out of memory (nilufer yanya)","just a western (nilufer yanya)","22"
"dq (charly bliss)","gatorade (charly bliss)","21"
"totalizer (charly bliss)","julia (charly bliss)","21"
"grim reaper (suzi wu)","highway (suzi wu)","21"
"damn (ada lea)","can't stop me from dying (ada lea)","21"
"can't stop me from dying (ada lea)","oranges (ada lea)","21"
"oranges (ada lea)","partner (ada lea)","21"
"partner (ada lea)","saltspring (ada lea)","21"
"saltspring (ada lea)","and my newness spoke to your newness and it was a thing of endless (ada lea)","21"
"and my newness spoke to your newness and it was a thing of endless (ada lea)","my love 4 u is real (ada lea)","21"
"highway (suzi wu)","error 404 (suzi wu)","20"
"my love 4 u is real (ada lea)","backyard (ada lea)","20"
"error 404 (suzi wu)","hungry (suzi wu)","19"
"omg (jackie hayes)","brand new (jackie hayes)","19"
"brand new (jackie hayes)","have fun (jackie hayes)","19"
"backyard (ada lea)","writer in ny (ada lea)","19"
"writer in ny (ada lea)","violence (ada lea)","19"
"violence (ada lea)","hurt (ada lea)","19"
"bovine excision (samia)","hole in a frame (samia)","19"
"hole in a frame (samia)","lizard (samia)","19"
"lizard (samia)","dare (samia)","19"
"fair game (samia)","spine oil (samia)","19"
"material (jackie hayes)","sunday (jackie hayes)","18"
"for what (destroy boys)","secrets (destroy boys)","18"
"beta (slotface)","come hell or whatever (slotface)","18"
"head in the clouds (the beths)","best left (the beths)","18"
"picture it (margaux)","i wouldn't want it any other way (margaux)","18"
"i wouldn't want it any other way (margaux)","sadie something (margaux)","18"
"i can't decide (margaux)","dissolve / resolve (margaux)","18"
"bottle blonde (momma)","ohio all the time (momma)","18"
"dare (samia)","fair game (samia)","18"
"capacity (charly bliss)","under you (charly bliss)","17"
"have fun (jackie hayes)","material (jackie hayes)","17"
"all this love (destroy boys)","for what (destroy boys)","17"
"knees deep (the beths)","silence is golden (the beths)","17"
"silence is golden (the beths)","your side (the beths)","17"
"i want to listen (the beths)","head in the clouds (the beths)","17"
"joiner (blondshell)","tarmac (blondshell)","17"
"sadie something (margaux)","ships (margaux)","17"
"ships (margaux)","make the move (margaux)","17"
"make the move (margaux)","i can't decide (margaux)","17"
"sincerely (momma)","i want you (fever) (momma)","17"
"i want you (fever) (momma)","rodeo (momma)","17"
"rodeo (momma)","stay all summer (momma)","17"
"stay all summer (momma)","new friend (momma)","17"
"new friend (momma)","how to breathe (momma)","17"
"how to breathe (momma)","last kiss (momma)","17"
"last kiss (momma)","bottle blonde (momma)","17"
"ohio all the time (momma)","welcome to my blue sky (momma)","17"
"welcome to my blue sky (momma)","take me with you (momma)","17"
"take me with you (momma)","my old street (momma)","17"
"spine oil (samia)","craziest person (samia)","17"
"craziest person (samia)","sacred (samia)","17"
"carousel (samia)","proof (samia)","17"
"the prize (prima queen)","oats (ain't gonna beg) (prima queen)","17"
"blown to bits (charly bliss)","capacity (charly bliss)","16"
"under you (charly bliss)","camera (charly bliss)","16"
"fighting in the dark (charly bliss)","young enough (charly bliss)","16"
"lo peor (destroy boys)","cherry garcia (destroy boys)","16"
"drink (destroy boys)","ruins (destroy boys)","16"
"expert in a dying field (the beths)","knees deep (the beths)","16"
"your side (the beths)","i want to listen (the beths)","16"
"best left (the beths)","change in the weather (the beths)","16"
"dogpile (swearin')","grow into a ghost (swearin')","16"
"grow into a ghost (swearin')","margaret (swearin')","16"
"margaret (swearin')","stabilize (swearin')","16"
"stabilize (swearin')","untitled (la) (swearin')","16"
"anyway (swearin')","future hell (swearin')","16"
"veronica mars (blondshell)","kiss city (blondshell)","16"
"sober together (blondshell)","joiner (blondshell)","16"
"tarmac (blondshell)","dangerous (blondshell)","16"
"sacred (samia)","carousel (samia)","16"
"proof (samia)","north poles (samia)","16"
"mexico (prima queen)","the prize (prima queen)","16"
"oats (ain't gonna beg) (prima queen)","ugly (prima queen)","16"
"sucker (broods)","why do you believe me? (broods)","15"
"why do you believe me? (broods)","peach (broods)","15"
"camera (charly bliss)","fighting in the dark (charly bliss)","15"
"bleach (charly bliss)","chatroom (charly bliss)","15"
"sweet tooth (destroy boys)","lo peor (destroy boys)","15"
"cherry garcia (destroy boys)","te llevo conmigo (destroy boys)","15"
"ruins (destroy boys)","escape (destroy boys)","15"
"escape (destroy boys)","all this love (destroy boys)","15"
"change in the weather (the beths)","when you know you know (the beths)","15"
"when you know you know (the beths)","a passing rain (the beths)","15"
"a passing rain (the beths)","i told you that i was afraid (the beths)","15"
"intro (one dimensional) (jackie hayes)","bite me (jackie hayes)","15"
"bite me (jackie hayes)","focus (jackie hayes)","15"
"focus (jackie hayes)","best of it (jackie hayes)","15"
"best of it (jackie hayes)","last second (jackie hayes)","15"
"last second (jackie hayes)","so what (jackie hayes)","15"
"so what (jackie hayes)","wish it was (jackie hayes)","15"
"wish it was (jackie hayes)","august (jackie hayes)","15"
"august (jackie hayes)","got to hurt (jackie hayes)","15"
"big change (swearin')","dogpile (swearin')","15"
"untitled (la) (swearin')","treading (swearin')","15"
"smoke or steam (swearin')","anyway (swearin')","15"
"kiss city (blondshell)","olympus (blondshell)","15"
"olympus (blondshell)","salad (blondshell)","15"
"salad (blondshell)","sepsis (blondshell)","15"
"sepsis (blondshell)","sober together (blondshell)","15"
"very little effort (julie)","clairbourne practice (julie)","15"
"dissolve / resolve (margaux)","midnight contact (margaux)","15"
"north poles (samia)","pants (samia)","15"
"clickbait (intro) (prima queen)","mexico (prima queen)","15"
"fool (prima queen)","woman and child (prima queen)","15"
